city_name,year,month,sector_name,gas_name,emissions_quantity,Type_of_Emissions
Alamdanga,2024,4,agriculture,ch4,32.83859229,Emission
Alamdanga,2024,4,buildings,ch4,5.52752527,Emission
Alamdanga,2024,4,fluorinated-gases,ch4,0,Emission
Alamdanga,2024,4,forestry-and-land-use,ch4,6.38E-11,Emission
Alamdanga,2024,4,fossil-fuel-operations,ch4,0.011183052,Emission
Alamdanga,2024,4,manufacturing,ch4,0.069977887,Emission
Alamdanga,2024,4,mineral-extraction,ch4,0,Emission
Alamdanga,2024,4,power,ch4,0.030851561,Emission
Alamdanga,2024,4,transportation,ch4,0.046862932,Emission
Alamdanga,2024,4,waste,ch4,16.05975783,Emission
Alamdanga,2024,5,agriculture,ch4,24.63060621,Emission
Alamdanga,2024,5,buildings,ch4,5.712005606,Emission
Alamdanga,2024,5,fluorinated-gases,ch4,0,Emission
Alamdanga,2024,5,forestry-and-land-use,ch4,0,Emission
Alamdanga,2024,5,fossil-fuel-operations,ch4,0.01112268,Emission
Alamdanga,2024,5,manufacturing,ch4,0.068933692,Emission
Alamdanga,2024,5,mineral-extraction,ch4,0,Emission
Alamdanga,2024,5,power,ch4,0.036268442,Emission
Alamdanga,2024,5,transportation,ch4,0.048570905,Emission
Alamdanga,2024,5,waste,ch4,16.98625819,Emission
Alamdanga,2024,6,agriculture,ch4,44.30217323,Emission
Alamdanga,2024,6,buildings,ch4,5.52752527,Emission
Alamdanga,2024,6,fluorinated-gases,ch4,0,Emission
Alamdanga,2024,6,forestry-and-land-use,ch4,0,Emission
Alamdanga,2024,6,fossil-fuel-operations,ch4,0.011110593,Emission
Alamdanga,2024,6,manufacturing,ch4,0.069075013,Emission
Alamdanga,2024,6,mineral-extraction,ch4,0,Emission
Alamdanga,2024,6,power,ch4,0.02340318,Emission
Alamdanga,2024,6,transportation,ch4,0.047173855,Emission
Alamdanga,2024,6,waste,ch4,16.58384478,Emission
Alamdanga,2024,7,agriculture,ch4,71.15707981,Emission
Alamdanga,2024,7,buildings,ch4,5.712005606,Emission
Alamdanga,2024,7,fluorinated-gases,ch4,0,Emission
Alamdanga,2024,7,forestry-and-land-use,ch4,0,Emission
Alamdanga,2024,7,fossil-fuel-operations,ch4,0.011173197,Emission
Alamdanga,2024,7,manufacturing,ch4,0.067736419,Emission
Alamdanga,2024,7,mineral-extraction,ch4,0,Emission
Alamdanga,2024,7,power,ch4,0,Emission
Alamdanga,2024,7,transportation,ch4,0.048853304,Emission
Alamdanga,2024,7,waste,ch4,17.01061821,Emission
Alamdanga,2024,8,agriculture,ch4,78.85690882,Emission
Alamdanga,2024,8,buildings,ch4,5.71200527,Emission
Alamdanga,2024,8,fluorinated-gases,ch4,0,Emission
Alamdanga,2024,8,forestry-and-land-use,ch4,0,Emission
Alamdanga,2024,8,fossil-fuel-operations,ch4,0.010964329,Emission
Alamdanga,2024,8,manufacturing,ch4,0.067075775,Emission
Alamdanga,2024,8,mineral-extraction,ch4,0,Emission
Alamdanga,2024,8,power,ch4,0.022599206,Emission
Alamdanga,2024,8,transportation,ch4,0.048982667,Emission
Alamdanga,2024,8,waste,ch4,17.02270506,Emission
Alamdanga,2024,9,agriculture,ch4,77.12916065,Emission
Alamdanga,2024,9,buildings,ch4,5.52752527,Emission
Alamdanga,2024,9,fluorinated-gases,ch4,0,Emission
Alamdanga,2024,9,forestry-and-land-use,ch4,0,Emission
Alamdanga,2024,9,fossil-fuel-operations,ch4,0.010900382,Emission
Alamdanga,2024,9,manufacturing,ch4,0.069057657,Emission
Alamdanga,2024,9,mineral-extraction,ch4,0,Emission
Alamdanga,2024,9,power,ch4,0.021033378,Emission
Alamdanga,2024,9,transportation,ch4,0.047556429,Emission
Alamdanga,2024,9,waste,ch4,16.61854209,Emission
Alamdanga,2024,10,agriculture,ch4,63.33787649,Emission
Alamdanga,2024,10,buildings,ch4,5.71200527,Emission
Alamdanga,2024,10,fluorinated-gases,ch4,0,Emission
Alamdanga,2024,10,forestry-and-land-use,ch4,0,Emission
Alamdanga,2024,10,fossil-fuel-operations,ch4,0.011181691,Emission
Alamdanga,2024,10,manufacturing,ch4,0.069973525,Emission
Alamdanga,2024,10,mineral-extraction,ch4,0,Emission
Alamdanga,2024,10,power,ch4,0.020313643,Emission
Alamdanga,2024,10,transportation,ch4,0.049267039,Emission
Alamdanga,2024,10,waste,ch4,17.04582928,Emission
Alamdanga,2024,11,agriculture,ch4,47.54791434,Emission
Alamdanga,2024,11,buildings,ch4,5.57596527,Emission
Alamdanga,2024,11,fluorinated-gases,ch4,0,Emission
Alamdanga,2024,11,forestry-and-land-use,ch4,0,Emission
